date,name,pos,id,Oppt,points,pointsDist,HomeAway,meanPoints,deviationPoints,mean10Day,mean5Day,OpptAverage,OpptAverage5
20160527,Jose Abreu,1B,547989,kan,0,0,1,0.571195498,0.3366642747,0.275801105,0.2985729967,0.3275460934,0.728952381
20160527,Justin Bour,1B,571506,atl,6.5,0.1846590909,1,0.6375319209,0.8744102897,0.3854143646,0.4976216612,0.6267932485,0.6483809524
20160527,Justin Smoak,1B,475253,bos,18.7,0.53125,0,0.5354204105,0.4539092191,0.1003314917,0.1683132089,0.3272709407,0.4700952381
20160527,Kris Bryant,1B,592178,phi,21.7,0.6164772727,0,1,0.9825240709,0.707771639,0.5554335895,0.2333934148,0.6112380952
20160527,Logan Morrison,1B,489149,nyy,0,0,0,0.3657665752,0.5629014638,0.8541436464,0.8243688255,0.3483844026,0.4398095238
20160527,Luis Valbuena,1B,472528,laa,0,0,1,0.4183297077,0.5342868787,0.4764640884,0.9103549213,0.5367197983,0.7573333333
20160527,Mark Reynolds,1B,448602,sfo,15.2,0.4318181818,0,0.5527877613,0.4643982918,0.1862246777,0.0746432492,0.3975292053,0.26
20160527,Miguel Cabrera,1B,408234,oak,6,0.1704545455,1,0.93551972,1,1,1,0.5643747947,0.8577142857
20160527,Mike Napoli,1B,435063,bal,21.7,0.6164772727,0,0.7519980138,0.6249520494,0.4026519337,0.586169045,0.3650387356,0.6293333333
20160527,Mitch Moreland,1B,519048,pit,0,0,0,0.3769270784,0.2203577958,0.0262667719,0.1287961947,0.7019297534,0.4436666667
20160527,Paul Goldschmidt,1B,502671,sdg,3,0.0852272727,0,0.8315520666,0.7844017729,0.4616574586,0.2832052689,0.5708149993,0.723047619
20160527,Ryan Zimmerman,1B,475582,stl,0,0,0,0.625626596,0.4566256219,0.4048618785,0.3064763996,0.3953058934,0.7890952381
20160527,Sean Rodriguez,1B,446481,tex,12.2,0.3465909091,1,0.8818216211,0.3881359175,0.4950276243,0.4420051226,0.3086723022,0.6192380952
20160527,Tommy Joseph,1B,571830,chc,3,0.0852272727,1,0.7828194458,0.5883536799,0.5646850829,0.3787047201,0,0.4205714286
20160527,Travis Shaw,1B,543768,tor,12.7,0.3607954545,1,0.8384800908,0.8650156087,0.3827624309,0.2312477131,0.2781131662,0.4436190476
20160527,Wil Myers,1B,571976,ari,15.7,0.4460227273,1,0.6833325452,0.8155024828,0.3323756906,0.4632272228,0.6325972264,1
20160527,Yonder Alonso,1B,475174,det,0,0,0,0.1602785397,0.1280473103,0,0.0658616905,0.672790004,0.7365714286
20160527,Avisail Garcia,RF,541645,kan,6.2,0.2123287671,1,0.3625153982,0.4517010801,0.0157312099,0.1265822785,0.3275460934,0.728952381
20160527,Brandon Guyer,RF,446386,nyy,6,0.2054794521,0,0.874109321,0.7505959824,0.7185011653,0.6481012658,0.3483844026,0.4398095238
20160527,Bryce Harper,RF,547180,stl,6.2,0.2123287671,0,0.9336247917,0.4920761994,0.4405709847,0.3681434599,0.3953058934,0.7890952381
