date,name,pos,id,Oppt,points,pointsDist,HomeAway,meanPoints,deviationPoints,OpptAverage
20160615,Joey Votto,1B,458015,atl,24.7,0.619047619,1,0.6945263488,0.4059776717,0.6224103883
20160615,John Jaso,1B,444379,nym,15.2,0.380952381,1,0.3807245922,0.1482750423,0.307182426
20160615,Jonathan Lucroy,1B,518960,sfo,6,0.1503759398,1,0.7635037641,0.6262900465,0.3143838354
20160615,Jose Abreu,1B,547989,det,3,0.0751879699,0,0.5180834379,0.2880984618,0.5184341146
20160615,Justin Bour,1B,571506,sdg,6.2,0.1553884712,1,0.424576537,0.6844607562,0.6461477508
20160615,Logan Morrison,1B,489149,sea,6.5,0.1629072682,0,0.4519134253,0.5801767215,0.3028553367
20160615,Luis Valbuena,1B,472528,stl,6,0.1503759398,1,0.3081242158,0.3497256477,0.338799947
20160615,Mark Reynolds,1B,448602,nyy,6.5,0.1629072682,0,0.4576693852,0.3171988389,0.3294849244
20160615,Matt Adams,1B,571431,hou,0,0,0,0.7313989962,0.6166094904,0.493349489
20160615,Miguel Cabrera,1B,408234,chw,3,0.0751879699,1,0.8179265997,0.8033224263,0.355284474
20160615,Mike Napoli,1B,435063,kan,0,0,1,0.8244510665,0.5077881163,0.3502304042
20160615,Mitch Moreland,1B,519048,oak,3,0.0751879699,1,0.4077007528,0.3594662868,0.4970131178
20160615,Paul Goldschmidt,1B,502671,lad,6.5,0.1629072682,0,0.9635821832,0.7269511866,0.1276610499
20160615,Ryan Zimmerman,1B,475582,chc,3,0.0751879699,0,0.561229611,0.5646150675,0
20160615,Tommy Joseph,1B,571830,tor,0,0,0,0.7022741531,0.8344315947,0.3413027557
20160615,Wil Myers,1B,571976,mia,9.5,0.2380952381,0,0.906838143,0.8891829922,0.3352957372
20160615,Yonder Alonso,1B,475174,tex,3,0.0751879699,0,0,0,0.3079906327
20160612,Adrian Gonzalez,1B,408236,sfo,0,0,1,0.3748418611,0.3604929138,0.333751052
20160612,Anthony Rizzo,1B,519203,atl,28.9,0.706601467,1,1,0.8823919076,0.605421911
20160612,Billy Butler,1B,456714,cin,15.2,0.3716381418,1,0,0.3575754161,1
20160612,Brandon Belt,1B,474832,lad,22.2,0.5427872861,0,0.6161969356,0.5184406161,0.1275701372
20160612,Brandon Moss,1B,461235,pit,9.5,0.2322738386,1,0.9426307281,0.8842330441,0.6001922347
20160612,C.J. Cron,1B,543068,cle,9,0.2200488998,0,0.2212362946,0.5664511698,0.2291289571
20160612,Carlos Santana,1B,467793,laa,40.9,1,1,0.5610767501,0.566624509,0.5225618042
20160612,Chris Carter,1B,474892,nym,0,0,0,0.6843723644,0.867478053,0.312848015
20160612,Chris Davis,1B,448801,tor,25.2,0.6161369193,1,0.8240792803,0.8065618848,0.3316096576
20160612,Chris Johnson,1B,453400,ari,3,0.0733496333,1,0.0134418049,0.2201031819,0.5927383048
20160612,Dae-Ho Lee,1B,493193,tex,0,0,0,0.5256712117,1,0.2807032404
20160612,Edwin Encarnacion,1B,429665,bal,31.1,0.760391198,0,0.7275442789,0.9006248392,0.3879893309
20160612,Eric Hosmer,1B,543333,chw,3,0.0733496333,1,0.7477684847,0.5482787741,0.3017128042
20160612,Freddie Freeman,1B,518692,chc,9,0.2200488998,0,0.3206705089,0.3980339207,0
20160612,Hanley Ramirez,1B,434670,min,15,0.3667481663,1,0.4932175991,0.2581079701,0.729784064
20160612,James Loney,1B,425766,mil,3,0.0733496333,1,0.05591088,0.2222237683,0.6210913189
20160612,Joe Mauer,1B,408045,bos,15.9,0.3887530562,0,0.4326855496,0.2427533133,0.3772655516
20160612,Joey Votto,1B,458015,oak,6,0.1466992665,0,0.6354371662,0.4151597463,0.4808351761
20160612,John Jaso,1B,444379,stl,3.2,0.0782396088,0,0.3499262019,0.1477513513,0.371867439
20160612,Jose Abreu,1B,547989,kan,18.7,0.4572127139,0,0.3517008715,0.1681428374,0.3894116821
20160612,Logan Morrison,1B,489149,hou,12.2,0.2982885086,0,0.3762475401,0.6023284623,0.5120754356
20160612,Mark Reynolds,1B,448602,sdg,18.7,0.4572127139,0,0.3148369412,0.304979758,0.6169825247
20160612,Miguel Cabrera,1B,408234,nyy,12.2,0.2982885086,1,0.706107675,0.7855207303,0.2987666778
20160612,Mitch Moreland,1B,519048,sea,22.2,0.5427872861,1,0.2403535283,0.3202470295,0.2908857897
20160612,Paul Goldschmidt,1B,502671,mia,18.9,0.4621026895,0,0.9307000281,0.7426392849,0.335096099
20160612,Rob Refsnyder,1B,608701,det,0,0,0,0.1913304751,0,0.5067930853
20160612,Ryan Zimmerman,1B,475582,phi,3.5,0.0855745721,0,0.578472027,0.5717126701,0.4535303801
20160612,Tommy Joseph,1B,571830,was,0,0,1,0.9901778184,0.8179304679,0.1751950888
20160612,Tyler White,1B,643603,tam,3,0.0733496333,1,0.1737594883,0.5831928663,0.3251345091
20160612,Wil Myers,1B,571976,col,0,0,1,0.9300499016,0.8796993663,0.6896255842
20160608,Adam Lind,1B,452252,cle,3,0.0802139037,0,0.4537509725,0.9631403583,0.2020138447
20160608,Adrian Gonzalez,1B,408236,col,6,0.1604278075,0,0.5282481962,0.4703287589,0.7261761162
20160608,Andrew Romine,1B,461865,tor,3,0.0802139037,0,0,0,0.2969018302
20160608,Anthony Rizzo,1B,519203,phi,12.7,0.3395721925,1,0.9279433864,0.9347726803,0.368501095
20160608,Billy Butler,1B,456714,mil,0,0,1,0.3685747477,0.5131860725,0.658284923
20160608,Brandon Belt,1B,474832,bos,18.7,0.5,0,0.6963838472,0.651129317,0.4025928596
20160608,Carlos Santana,1B,467793,sea,0,0,1,0.6737149495,0.6900844749,0.3013650475
20160608,Chris Carter,1B,474892,oak,6.2,0.1657754011,0,0.7494804378,0.9277664975,0.5122088487
20160608,Freddie Freeman,1B,518692,sdg,15.5,0.4144385027,1,0.53592173,0.5495815075,0.6087115176
20160608,Hanley Ramirez,1B,434670,sfo,0,0,1,0.6529857507,0.4411333996,0.3409577665
20160608,James Loney,1B,425766,pit,3,0.0802139037,1,0.5325006128,0.573073538,0.5463312453
20160608,Joe Mauer,1B,408045,mia,28.1,0.7513368984,0,0.5843289388,0.3883901434,0.2901677153
20160608,Joey Votto,1B,458015,stl,15.7,0.4197860963,0,0.7285061122,0.5767831979,0.3885077944
20160608,John Jaso,1B,444379,nym,15.7,0.4197860963,0,0.5571092093,0.3596371838,0.2900615664
20160608,Jose Abreu,1B,547989,was,12.2,0.3262032086,0,0.5387247013,0.3789564286,0.1883898588
20160608,Justin Bour,1B,571506,min,3,0.0802139037,1,0.5540184804,0.7560946039,0.6743516645
20160608,Justin Smoak,1B,475253,det,28.2,0.7540106952,1,0.5300813181,0.4396647788,0.502190183
